plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Rappi","2026-05-12T19:09:11.433Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","Burger King Plaza Portal Veracruz","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","0","Envío Gratis: Aplican TyC","12 min","4.2","10:00:00","20:45:00","true",
"Rappi","2026-05-12T19:09:56.797Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T19:10:52.382Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","McDonald's - Xalapa Crystal ","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","114",,"unknown","0","Envío Gratis: Aplican TyC","20 min","4.4","12:00:00","22:00:00","true",
"Rappi","2026-05-12T19:11:49.575Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para Burger King"
"Rappi","2026-05-12T19:12:35.395Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T19:13:25.485Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","McDonald's Reforma, Oaxaca F","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","100",,"unknown","0","Envío Gratis: Aplican TyC","13 min","4.3","11:00:00","23:59:00","true",
"Rappi","2026-05-12T19:14:15.736Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para Burger King"
"Rappi","2026-05-12T19:14:58.418Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T19:15:51.065Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán"," McDonald's - Comida Merida Centro","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","10","unknown","13 min","3.9","12:00:00","21:45:00","true",
"Rappi","2026-05-12T19:16:15.518Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán","Burger King Centro Mérida (EXE)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","10","unknown","25 min","4.4","10:00:00","21:45:00","true",
"Rappi","2026-05-12T19:16:43.974Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","28.56",,"unknown","10","unknown","14 min o prog.",,"unknown","unknown","true",
"Rappi","2026-05-12T19:17:28.086Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","Mcdonald's - Malecón Américas ","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","135",,"unknown","10","unknown","14 min","3.9","12:00:00","22:00:00","true",
"Rappi","2026-05-12T19:17:45.085Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","Burger King Américas Cancún (EXE)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","10","unknown","14 min","3.6","10:00:00","21:45:00","true",
"Rappi","2026-05-12T19:18:09.289Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","28.18",,"unknown","10","unknown","14 min o prog.",,"unknown","unknown","true",
